node_id,name,category,type,brief,owner_fk,createdAt,updater_fk,updatedAt,categories,tags,aliases,data,description
12,Node,Category,Type,NULL,14,"2024-07-14 15:52:20",14,"2024-07-14 15:52:20",""Category"",NULL,NULL,NULL,NULL
13,Node2,Category,Type,NULL,14,"2024-07-14 16:09:04",NULL,"2024-07-14 16:09:04",""Category"",NULL,NULL,NULL,NULL
14,Node3,Category,Type,NULL,14,"2024-07-14 17:23:42",NULL,"2024-07-14 17:23:42",""Cat3"",NULL,NULL,NULL,NULL
15,"Node for L",Category,Type,NULL,13,"2024-07-14 17:24:53",NULL,"2024-07-14 17:24:53",""Cat L"",NULL,NULL,NULL,NULL
16,Bananas,Category,Type,NULL,14,"2024-07-15 18:03:38",NULL,"2024-07-15 18:03:38",""Fruit"",NULL,NULL,NULL,NULL
17,"Node Name 1",Category,Type,NULL,14,"2024-07-16 17:12:06",NULL,"2024-07-16 17:12:06",""Category 1, Category 2"",NULL,NULL,NULL,NULL
18,"Node Name 2",Category,Type,NULL,14,"2024-07-16 17:17:49",NULL,"2024-07-16 17:17:49",""Cat"",NULL,NULL,NULL,NULL
19,"Node Name 3",Category,Type,NULL,14,"2024-07-16 17:18:58",NULL,"2024-07-16 17:18:58",""Cat"",NULL,NULL,NULL,NULL
20,"Node Name 4",Category,Type,NULL,14,"2024-07-16 17:25:25",NULL,"2024-07-16 17:25:25",""Cat"",NULL,NULL,NULL,NULL
21,"Node Name 5",Category,Type,NULL,14,"2024-07-16 17:26:25",NULL,"2024-07-16 17:26:25",""Cat"",NULL,NULL,NULL,NULL
22,Ramen,Category,Type,NULL,14,"2024-07-16 17:34:23",NULL,"2024-07-16 17:34:23",""Meal"",NULL,NULL,NULL,NULL
23,Menudo,Category,Type,NULL,14,"2024-07-16 18:23:37",NULL,"2024-07-16 18:23:37",""Meal, Soup"",NULL,NULL,NULL,NULL
24,Insane,Category,Type,NULL,14,"2024-07-17 07:05:27",NULL,"2024-07-17 07:05:27",""Song"",NULL,NULL,NULL,NULL
25,"We Who Are Not As Others",Category,Type,NULL,14,"2024-07-19 21:10:53",NULL,"2024-07-19 21:10:53",""Song by Sepultura"",NULL,NULL,NULL,NULL
27,"We Who Are Not As Others 2",Category,Type,NULL,14,"2024-07-19 21:12:41",NULL,"2024-07-19 21:12:41",""Song by Sepultura"",NULL,NULL,NULL,NULL
28,"Pickup Full of Pink Carnations",Category,Type,NULL,14,"2024-07-19 21:58:33",NULL,"2024-07-19 21:58:33",""Indie Rock"",NULL,NULL,NULL,NULL
29,"Liquid Death SW",Category,Type,NULL,14,"2024-07-22 14:33:57",NULL,"2024-07-22 14:33:57",""Drink - Sparkling Water"",NULL,NULL,NULL,NULL
30,"Liquid Death Mountain Water",Category,Type,NULL,14,"2024-07-23 18:35:32",NULL,"2024-07-23 18:35:32",NULL,NULL,NULL,NULL,NULL
32,"Liquid Death Mountain Water 2",Category,Type,NULL,14,"2024-07-23 18:37:58",NULL,"2024-07-23 18:37:58",NULL,NULL,NULL,NULL,NULL
33,"Liquid Death Mountain Water 3",Category,Type,NULL,14,"2024-07-23 18:39:22",NULL,"2024-07-23 18:39:22",NULL,NULL,NULL,NULL,NULL
34,"Liquid Death Mountain Water 4",Category,Type,NULL,14,"2024-07-23 18:45:12",NULL,"2024-07-23 18:45:12",NULL,NULL,NULL,NULL,NULL
35,"Liquid Death Mountain Water 5",Category,Type,NULL,14,"2024-07-23 18:45:43",NULL,"2024-07-23 18:45:43",NULL,NULL,NULL,NULL,NULL
36,"Item Disam 1",Category,Type,NULL,14,"2024-07-23 18:49:14",NULL,"2024-07-23 18:49:14",NULL,NULL,NULL,NULL,NULL
37,"A D",Category,Type,NULL,14,"2024-07-23 18:50:02",NULL,"2024-07-23 18:50:02",NULL,NULL,NULL,NULL,NULL
38,"A D1",C,T,NULL,14,"2024-07-23 18:52:29",NULL,"2024-07-23 18:52:29",NULL,NULL,NULL,NULL,NULL
39,"Eveready Super Heavy Duty AA Batteries",Battery,"Super Heavy Duty AA",NULL,14,"2024-07-23 18:54:26",NULL,"2024-07-23 18:54:26",NULL,NULL,NULL,NULL,NULL
40,"Profile Ball 1.0 Papermate Pen","Writing Tool",Pen,NULL,14,"2024-07-23 18:59:47",NULL,"2024-07-23 18:59:47",NULL,NULL,NULL,NULL,NULL
41,"Quesadilla Food from Guisados in Hermosa Beach",Category,Type,NULL,14,"2024-07-23 21:22:22",NULL,"2024-07-23 21:22:22",NULL,NULL,NULL,NULL,NULL
42,"Taco de Chuleta en Chile Verde Food from Guisados in Hermosa Beach",Category,Type,NULL,14,"2024-07-23 21:26:04",NULL,"2024-07-23 21:26:04",NULL,NULL,NULL,NULL,NULL
43,"Taco de Tinga Guisados - Hermosa Beach",Category,Type,NULL,14,"2024-07-23 22:09:52",NULL,"2024-07-23 22:09:52",NULL,NULL,NULL,NULL,NULL
44,"PaperMate Profile Ball 1.0 Ballpoint Pens",Category,Type,NULL,14,"2024-07-24 01:08:34",NULL,"2024-07-24 01:08:34",NULL,NULL,NULL,NULL,NULL
45,"Bill Rosendahl Del Rey Park Parks in Los Angeles",Category,Type,NULL,14,"2024-07-24 01:12:36",NULL,"2024-07-24 01:12:36",NULL,NULL,NULL,NULL,NULL
46,"Ramen Meals",Category,Type,NULL,14,"2024-07-24 01:16:23",NULL,"2024-07-24 01:16:23",NULL,NULL,NULL,NULL,NULL
47,"Sharpie Fine Point Permanent Markers",Category,Type,NULL,14,"2024-07-24 04:19:40",NULL,"2024-07-24 04:19:40",NULL,NULL,NULL,NULL,NULL
48,"Liquid Death Mountain Water Bottled Water",Category,Type,NULL,14,"2024-07-24 04:25:52",NULL,"2024-07-24 04:25:52",NULL,NULL,NULL,NULL,NULL
49,"Liquid Death Sparkling Water Refreshments",Category,Type,NULL,14,"2024-07-24 05:05:31",NULL,"2024-07-24 05:05:31",NULL,NULL,NULL,NULL,NULL
50,"Test Item Testing",Category,Type,NULL,14,"2024-07-26 06:01:51",NULL,"2024-07-26 06:01:51",NULL,NULL,NULL,NULL,NULL
51,"Item Testing 2 Testing",Category,Type,NULL,14,"2024-07-26 06:02:30",NULL,"2024-07-26 06:02:30",NULL,NULL,NULL,NULL,NULL
52,"Item 3 Testing",Category,Type,NULL,14,"2024-07-26 06:04:41",NULL,"2024-07-26 06:04:41",NULL,NULL,NULL,NULL,NULL
53,"Milwaukee 48-22-6100 Lineman Pliers",Category,Type,NULL,14,"2024-07-26 06:37:48",NULL,"2024-07-26 06:37:48",NULL,NULL,NULL,NULL,NULL
54,"Mint 3 Tea",Category,Type,NULL,14,"2024-07-26 21:50:29",NULL,"2024-07-26 21:50:29",NULL,NULL,NULL,NULL,NULL
55,"Test 6 Testing",Category,Type,NULL,14,"2024-07-26 21:53:35",NULL,"2024-07-26 21:53:35",NULL,NULL,NULL,NULL,NULL
56,"T5 T",Category,Type,NULL,14,"2024-07-26 22:04:33",NULL,"2024-07-26 22:04:33",NULL,NULL,NULL,NULL,NULL
57,"T6 T",Category,Type,NULL,14,"2024-07-26 22:05:32",NULL,"2024-07-26 22:05:32",NULL,NULL,NULL,NULL,NULL
58,"T1 TT",Category,Type,NULL,14,"2024-07-30 22:06:07",NULL,"2024-07-30 22:06:07",NULL,NULL,NULL,NULL,NULL
