review_id,review_type,tierlist,item,details,tier,visibility,alias,disambiguation,category,type,user_fk,node_fk,rubric_fk,createdAt,updatedAt,comment,data,score,brief,categories,tags
1,NULL,"List Name",NULL,NULL,C,private,"Node Name 5","Perfect disambiguation",Category,Type,14,21,1,"2024-07-16 17:26:25","2024-07-16 17:26:25",,NULL,0,,""Cat"",""#tag1, #tag2""
2,NULL,"List Name",NULL,NULL,C,private,Ramen,"Perfect disambiguation",Category,Type,14,22,1,"2024-07-16 17:34:23","2024-07-16 17:34:23","One of my favorite soups.",NULL,4,"Noodle soup",""Meal"",""#japanese, #food""
3,NULL,"List Name",NULL,NULL,C,private,Menudo,"Perfect disambiguation",Category,Type,14,23,1,"2024-07-16 18:23:37","2024-07-16 18:23:37","Longo comment",NULL,4,Yum!,""Meal, Soup"",""#mexican""
4,NULL,"List Name",NULL,NULL,C,private,Insane,"Perfect disambiguation",Category,Type,14,24,1,"2024-07-17 07:05:27","2024-07-17 07:05:27","band: "Cavalera Conspiracy", album: "Psychosis"",NULL,4,,""Song"",""#heavy-metal""
5,NULL,"List Name",NULL,NULL,C,private,"We Who Are Not As Others 2","Perfect disambiguation",Category,Type,14,27,1,"2024-07-19 21:12:41","2024-07-19 21:12:41","Very good.",NULL,4,Good,""Song by Sepultura"",""#groove-metal""
6,NULL,"List Name",NULL,NULL,C,private,"Pickup Full of Pink Carnations","Album by The Vaccines",Category,Type,14,28,1,"2024-07-19 21:58:33","2024-07-19 21:58:33","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.",NULL,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",""Indie Rock"",""#chill""
7,NULL,"List Name",NULL,NULL,C,private,"Liquid Death","Sparkling Water",Category,Type,14,29,1,"2024-07-22 14:33:57","2024-07-22 14:33:57","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",NULL,4,"Sparkling water in an aluminum can that looks like a beer can decorated in a "metal" aesthetic.",""Drink - Sparkling Water"",""#tag1, #tag2""
8,NULL,"List Name",NULL,NULL,B,private,"Liquid Death","Mountain Water 5",Drink,Water,14,35,1,"2024-07-23 18:45:43","2024-07-23 18:45:43",NULL,NULL,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",NULL,NULL
9,NULL,"List Name",NULL,NULL,C,private,Item,"Disam 1",Test,Blue,14,36,1,"2024-07-23 18:49:14","2024-07-23 18:49:14",NULL,NULL,0,"Brief description.",NULL,NULL
10,NULL,"List Name",NULL,NULL,C,private,A,D,Cat,Type,14,37,1,"2024-07-23 18:50:02","2024-07-23 18:50:02",NULL,NULL,0,Brief,NULL,NULL
